Provinsi,Kabupaten/Kota,Luas Panen 2018,Luas Panen 2019,Luas Panen 2020,Luas Panen 2021,Luas Panen 2022,Luas Panen 2023,Luas Panen 2024,Produksi Padi 2018,Produksi Padi 2019,Produksi Padi 2020,Produksi Padi 2021,Produksi Padi 2022,Produksi Padi 2023,Produksi Padi 2024,produktivitas
Sumatera Utara,NIAS,9899.33,9815.05,9513.49,8999.56,7704.17,8482,9174,35117.42,31674.09,35387.89,36559.9,35244.47,38156,41574,4.498467342607875
Sumatera Utara,MANDAILING NATAL,20161.62,19937.48,18198.88,17158.99,20813.47,19834,22662,91162.61,82658.97,74365.92,72323.45,82436.28,78183,95562,3.9418675002520924
Sumatera Utara,TAPANULI SELATAN,18714.63,19723.9,17677.65,16697.95,19790.77,18749,19267,97876.5,98109.39,90857.69,87958.52,98843.26,91189,98208,4.863672729212225
Sumatera Utara,TAPANULI TENGAH,12794.69,13306.9,11903.68,12366.14,12218.7,17209,12136,49706.39,52079.39,41930.98,52962.33,48181.74,48694,49566,2.8295659248067873
Sumatera Utara,TAPANULI UTARA,26729.07,24138.38,21508.92,21621.69,27457.39,25294,24187,119456.09,111791.69,110246.52,122554.37,125645.14,126830,124069,5.0142326243377875
Sumatera Utara,TOBA,22196.55,20857.38,17574.08,17687.1,16504.07,16361,16028,131918.2,129213.79,106168.3,107239.08,102802.33,110902,96708,6.778436525884726
Sumatera Utara,LABUHAN BATU,12366.68,15194.29,11594.12,12622.84,21300.16,13368,14935,57317.78,75623.32,58193.58,59546.4,82642.09,68706,87474,5.1395870736086176
Sumatera Utara,ASAHAN,9678.49,9995.57,10737.39,9906.85,10166.12,12010,11991,55539.11,61513.4,61350.21,55660.79,65692.71,63407,67559,5.279517069109076
Sumatera Utara,SIMALUNGUN,34172.33,32101.99,33172.77,30950.94,26442.49,27574,34503,196297.25,167543.64,174804.18,162411.52,143008.93,143824,198121,5.215928048161311
Sumatera Utara,DAIRI,5332.96,5634.52,6546.43,5894.95,7027.48,6822,6294,27968.79,27995.15,35311.46,30378.06,34934.89,35325,31177,5.178100263852243
Sumatera Utara,KARO,10430.56,9235.12,8601.24,9844.22,9175.59,8828,8036,58571.71,58368.73,57841.43,69828.73,63451.43,57380,43839,6.499773448119619
